START_DATE,END_DATE,START,STOP,MILES,PURPOSE
26/04/2024 22:55,26/04/2024 23:20,Saint-Priest,Lyon,10.85,Meeting
17/01/2024 13:30,17/01/2024 13:42,Vénissieux,Vénissieux,3.92,Customer Visit
24/09/2024 14:17,24/09/2024 14:42,Vénissieux,Oullins,3.64,Meeting
11/05/2024 19:54,11/05/2024 20:12,Marseille,La Ciotat,2.98,Errand
21/09/2024 07:03,21/09/2024 07:33,Villeurbanne,Lyon,5.95,Commute
23/12/2024 20:41,23/12/2024 21:15,La Ciotat,Marseille,11.29,Commute
05/08/2024 22:15,05/08/2024 23:14,Boulogne-Billancourt,Saint-Denis,17.93,Commute
10/03/2024 11:47,10/03/2024 12:17,Martigues,Aubagne,10.5,Meeting
21/04/2024 22:48,21/04/2024 23:12,Móstoles,Madrid,2.68,Commute
27/03/2024 22:44,27/03/2024 22:59,Alcorcón,Getafe,3.41,Commute
22/11/2024 15:36,22/11/2024 15:42,Aubagne,Aubagne,1.12,Customer Visit
14/08/2024 06:26,14/08/2024 06:47,Marseille,Martigues,2.33,Airport
24/10/2024 11:49,24/10/2024 12:18,Paris,Nanterre,11.76,Commute
14/04/2024 13:29,14/04/2024 13:47,Saint-Denis,Boulogne-Billancourt,2.73,Meal/Entertain
29/05/2024 11:01,29/05/2024 11:27,Sintra,Oeiras,8.84,Commute
02/07/2024 19:28,02/07/2024 19:48,Madri$d,Lyon,6.99,Business
06/11/2024 22:10,06/11/2024 22:39,Nanterre,Saint-Denis,5.55,Commute
21/12/2024 08:29,21/12/2024 08:56,Caluire-et-Cuire,Vénissieux,6.67,Customer Visit
13/12/2024 09:21,13/12/2024 09:43,Oullins,Bron,5.66,Airport
30/11/2024 22:05,30/11/2024 22:49,Pozuelo de Alarcón,Madrid,13.71,Errand
25/01/2024 12:01,25/01/2024 12:26,Lyon,Lyon,4.98,Business
25/03/2024 19:35,25/03/2024 20:14,Oullins,Lyon,10.54,Business
16/09/2024 16:36,16/09/2024 17:09,Nanterre,Versailles,8.52,Business
16/07/2024 09:10,16/07/2024 09:19,Marseille,Marseille,1.78,Airport
30/03/2024 19:12,30/03/2024 19:35,Saint-Denis,Saint-Denis,3.37,Business
20/06/2024 22:43,20/06/2024 23:13,Boulogne-Billancourt,Créteil,9.12,Meeting
02/12/2024 17:13,02/12/2024 17:20,Boulogne-Billancourt,Unknown Location,0.8,Commute
26/07/2024 07:15,26/07/2024 07:43,Amadora,Sintra,8.1,Meeting
19/12/2024 15:02,19/12/2024 15:39,Villeurbanne,Bron,8.95,Business
04/05/2024 18:52,04/05/2024 19:14,Leganés,Madrid,5.94,Airport
08/07/2024 14:45,08/07/2024 15:06,Móstoles,Móstoles,1.87,Commute
15/11/2024 22:26,15/11/2024 23:18,Boulogne-Billancourt,Paris,14.22,Meeting
26/01/2024 14:11,26/01/2024 14:55,Vénissieux,Caluire-et-Cuire,17.17,Business
20/08/2024 19:11,20/08/2024 19:48,Versailles,Boulogne-Billancourt,6.72,Commute
10/10/2024 21:55,10/10/2024 22:17,La Ciotat,Martigues,7.07,Business
03/03/2024 13:16,03/03/2024 13:47,Bron,Villeurbanne,6.32,Business
02/11/2024 08:09,02/11/2024 08:53,Almada,Sintra,9.28,Airport
16/03/2024 08:50,16/03/2024 09:20,Paris,Boulogne-Billancourt,6.64,Shopping
21/10/2024 21:20,21/10/2024 21:49,Paris,Issy-les-Moulineaux,10.09,Business
07/12/2024 10:18,07/12/2024 10:37,Villeurbanne,Villeurbanne,2.07,Commute
05/09/2024 19:27,05/09/2024 19:33,Loures,Loures,2.19,Meeting
08/07/2024 18:34,08/07/2024 18:57,Vitrolles,Madri$d,8.12,Meeting
19/06/2024 21:09,19/06/2024 21:39,Aix-en-Provence,Marseille,4.13,Commute
02/03/2024 11:20,02/03/2024 11:57,Salon-de-Provence,Marseille,9.96,Commute
07/02/2024 21:22,07/02/2024 21:53,Créteil,Versailles,9.7,Meeting
25/10/2024 08:37,25/10/2024 09:16,Salon-de-Provence,Marseille,9.34,Customer Visit
26/05/2024 23:38,27/05/2024 00:06,Lyon#,Issy-les-Moulineaux,10.02,Customer Visit
03/02/2024 06:44,03/02/2024 07:16,Créteil,Versailles,11.93,Commute
21/12/2024 13:42,21/12/2024 13:56,Issy-les-Moulineaux,Versailles,0.8,Business
07/02/2024 23:50,07/02/2024 23:56,Vénissieux,Lyon#,0.8,Meeting
07/05/2024 09:58,07/05/2024 10:25,Lyon,Villeurbanne,4.82,Airport
12/06/2024 15:07,12/06/2024 15:17,Madrid,Madrid,4.25,Airport
03/10/2024 06:43,03/10/2024 07:10,Amadora,Almada,8.74,Business
22/05/2024 06:42,22/05/2024 07:22,Pozuelo de Alarcón,Fuenlabrada,13.73,Airport
29/12/2024 12:55,29/12/2024 13:11,Nanterre,Nanterre,3.0,Airport
11/01/2024 22:58,11/01/2024 23:29,Aix-en-Provence,Vitrolles,6.64,Commute
22/01/2024 09:38,22/01/2024 09:58,Alcorcón,Fuenlabrada,7.34,Meeting
14/12/2024 10:51,14/12/2024 10:59,Pozuelo de Alarcón,Leganés,2.48,Business
27/02/2024 18:02,27/02/2024 18:37,Nanterre,Créteil,11.07,Meeting
19/05/2024 17:45,19/05/2024 17:53,Aix-en-Provence,Aix-en-Provence,2.46,Commute
02/02/2024 15:24,02/02/2024 15:33,Salon-de-Provence,Salon-de-Provence,0.8,Business
27/07/2024 10:55,27/07/2024 11:28,Saint-Priest,Vénissieux,6.62,Customer Visit
30/09/2024 15:01,30/09/2024 15:17,La Ciotat,Marseille,0.8,Business
22/01/2024 18:25,22/01/2024 18:42,Bron,Bron,4.61,Commute
05/01/2024 23:37,06/01/2024 00:09,Villeurbanne,Oullins,5.5,Commute
10/03/2024 06:38,10/03/2024 06:55,La Ciotat,La Ciotat,5.38,Business
05/04/2024 18:02,05/04/2024 18:14,Versailles,Créteil,2.56,Meeting
04/12/2024 16:16,04/12/2024 16:58,Villeurbanne,Caluire-et-Cuire,9.73,Shopping
25/04/2024 22:05,25/04/2024 22:27,Aix-en-Provence,Lisb0n,4.94,Shopping
22/07/2024 18:10,22/07/2024 18:33,Saint-Denis,Nanterre,4.7,Customer Visit
28/07/2024 09:51,28/07/2024 10:11,Aix-en-Provence,Aix-en-Provence,2.86,Business
26/07/2024 06:08,26/07/2024 06:32,Lyon,Bron,7.51,Customer Visit
21/11/2024 08:27,21/11/2024 09:04,Saint-Denis,Paris,6.39,Business
